ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
205483_s_at,0.0000623,2.79E-09,-6.8277192,10.24807,-2.08036732,ISG15,ISG15 ubiquitin-like modifier
AFFX-HUMISGF3A/M97935_3_at,0.0001126,1.91E-08,-6.3611356,8.59227,-1.15645017,STAT1,signal transducer and activator of transcription 1
202307_s_at,0.0001126,1.97E-08,-6.3537512,8.56619,-0.98138703,TAP1,"transporter 1, ATP binding cassette subfamily B member"
209969_s_at,0.0001126,2.02E-08,-6.3476379,8.54461,-1.70601204,STAT1,signal transducer and activator of transcription 1
200887_s_at,0.0001151,2.58E-08,-6.2875693,8.33271,-1.10199162,STAT1,signal transducer and activator of transcription 1
219211_at,0.0001937,5.22E-08,-6.1147874,7.72524,-2.78664507,USP18,ubiquitin specific peptidase 18
204439_at,0.0002237,7.59E-08,-6.0221904,7.4011,-2.78452205,IFI44L,interferon induced protein 44 like
219863_at,0.0002237,8.03E-08,-6.0081649,7.35209,-1.52324584,HERC5,HECT and RLD domain containing E3 ubiquitin protein ligase 5
213797_at,0.0002487,1.00E-07,-5.9527057,7.15858,-2.07967945,RSAD2,radical S-adenosyl methionine domain containing 2
AFFX-HUMISGF3A/M97935_MA_at,0.0004363,1.96E-07,-5.7862954,6.58052,-1.45461937,STAT1,signal transducer and activator of transcription 1
214059_at,0.0005084,2.51E-07,-5.7240728,6.36547,-1.87798628,IFI44,interferon induced protein 44
202086_at,0.0005918,3.19E-07,-5.6639824,6.1584,-1.58844859,MX1,MX dynamin like GTPase 1
202411_at,0.000818,4.88E-07,-5.5563136,5.78896,-2.74600768,IFI27,interferon alpha inducible protein 27
218986_s_at,0.000818,5.14E-07,-5.5432073,5.74413,-1.39276545,DDX60,DEXD/H-box helicase 60
214453_s_at,0.0009492,6.39E-07,-5.487884,5.55527,-1.88602987,IFI44,interferon induced protein 44
AFFX-HUMISGF3A/M97935_MB_at,0.0021918,1.57E-06,-5.2568129,4.77326,-1.20803652,STAT1,signal transducer and activator of transcription 1
201649_at,0.0022709,1.73E-06,-5.2319696,4.68988,-0.82738539,UBE2L6,ubiquitin conjugating enzyme E2 L6
211012_s_at,0.0039875,3.22E-06,-5.0705508,4.15171,-1.44655302,PML,promyelocytic leukemia
206133_at,0.0040046,3.41E-06,-5.0552643,4.10109,-1.06588706,XAF1,XIAP associated factor 1
AFFX-HUMISGF3A/M97935_5_at,0.0042372,3.80E-06,-5.0269847,4.00759,-1.61390541,STAT1,signal transducer and activator of transcription 1
204415_at,0.0062673,5.91E-06,-4.9107636,3.62557,-1.5217158,IFI6,interferon alpha inducible protein 6
209939_x_at,0.0077914,7.69E-06,-4.8404788,3.39637,-0.79524449,CFLAR,CASP8 and FADD like apoptosis regulator
209417_s_at,0.0096512,9.96E-06,-4.7712816,3.17212,-1.07498116,IFI35,interferon induced protein 35
219209_at,0.0100113,1.13E-05,-4.7376354,3.06361,-1.06937427,IFIH1,interferon induced with helicase C domain 1
213417_at,0.0100113,1.17E-05,4.7283672,3.03378,0.91374632,TBX2,T-box 2
213294_at,0.0100113,1.19E-05,-4.722572,3.01514,-0.92265909,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
209967_s_at,0.0100113,1.21E-05,-4.7182702,3.00131,-1.49971021,CREM,cAMP responsive element modulator
218737_at,0.0150111,1.89E-05,-4.5984963,2.61861,-0.5574913,SBNO1,strawberry notch homolog 1
204211_x_at,0.0159207,2.11E-05,-4.5680541,2.52208,-0.86906626,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
210563_x_at,0.0159207,2.14E-05,-4.563554,2.50784,-0.70052358,CFLAR,CASP8 and FADD like apoptosis regulator
202269_x_at,0.0200625,2.79E-05,-4.4909865,2.27911,-1.39848842,GBP1,guanylate binding protein 1
208436_s_at,0.0202603,2.91E-05,-4.4795142,2.24312,-1.0454644,IRF7,interferon regulatory factor 7
205569_at,0.0203899,3.02E-05,-4.4692485,2.21095,-2.09123357,LAMP3,lysosomal associated membrane protein 3
204747_at,0.0210148,3.21E-05,-4.4526322,2.15896,-1.55999216,IFIT3,interferon induced protein with tetratricopeptide repeats 3
216390_at,0.0228041,3.58E-05,4.4219197,2.06311,0.89773705,LCAT,lecithin-cholesterol acyltransferase
218999_at,0.0231639,3.91E-05,-4.3973065,1.98655,-0.61606742,TMEM140,transmembrane protein 140
222154_s_at,0.0231639,3.98E-05,-4.3928896,1.97283,-1.96710737,SPATS2L,spermatogenesis associated serine rich 2 like
32069_at,0.0231639,4.01E-05,-4.3907977,1.96634,-0.77118527,N4BP1,NEDD4 binding protein 1
204932_at,0.0231639,4.05E-05,4.3874327,1.9559,1.50701507,TNFRSF11B,TNF receptor superfamily member 11b
209546_s_at,0.0238561,4.37E-05,-4.3663831,1.89067,-1.23820607,APOL1,apolipoprotein L1
201762_s_at,0.0238561,4.39E-05,-4.3652425,1.88714,-0.68826335,MIR7703///PSME2,microRNA 7703///proteasome activator subunit 2
218400_at,0.0239745,4.52E-05,-4.3571166,1.862,-1.41331955,OAS3,2'-5'-oligoadenylate synthetase 3
204972_at,0.0240987,4.65E-05,-4.3490821,1.83718,-0.9733581,OAS2,2'-5'-oligoadenylate synthetase 2
218927_s_at,0.024711,4.88E-05,-4.3356031,1.79558,-0.89017314,CHST12,carbohydrate (chondroitin 4) sulfotransferase 12
219352_at,0.0284663,5.75E-05,-4.2894905,1.65379,-1.17060867,HERC6,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
209116_x_at,0.0312477,6.45E-05,-4.2569411,1.55418,-2.72242784,HBB,hemoglobin subunit beta
201601_x_at,0.0356655,7.52E-05,-4.2133086,1.42131,-1.33481786,IFITM2///IFITM1,interferon induced transmembrane protein 2///interferon induced transmembrane protein 1
210797_s_at,0.0420133,9.05E-05,-4.1605458,1.26163,-0.95974559,OASL,2'-5'-oligoadenylate synthetase like
205226_at,0.0464459,1.02E-04,4.1258476,1.15723,1.35324083,PDGFRL,platelet derived growth factor receptor like
208864_s_at,0.0500123,1.12E-04,-4.0987179,1.07595,-0.75192228,TXN,thioredoxin
207181_s_at,0.0552507,1.26E-04,-4.0641872,0.97293,-0.62089607,CASP7,caspase 7
206276_at,0.0584428,1.38E-04,4.0392461,0.89882,0.68299783,LY6D,"lymphocyte antigen 6 complex, locus D"
203595_s_at,0.0584428,1.41E-04,-4.0326613,0.8793,-0.63155366,IFIT5,interferon induced protein with tetratricopeptide repeats 5
214435_x_at,0.0584428,1.45E-04,-4.0238759,0.85329,-0.57764,RALA,RALA Ras like proto-oncogene A
202270_at,0.0584428,1.48E-04,-4.0175933,0.83471,-1.36923931,GBP1,guanylate binding protein 1
207469_s_at,0.0584428,1.48E-04,-4.0175143,0.83447,-1.18128522,PIR,pirin
214455_at,0.0584428,1.49E-04,-4.0155248,0.82859,-1.55174362,HIST1H2BC///HIST1H2BI///HIST1H2BE///HIST1H2BF///HIST1H2BG,"histone cluster 1, H2bc///histone cluster 1, H2bi///histone cluster 1, H2be///histone cluster 1, H2bf///histone cluster 1, H2bg"
221476_s_at,0.0700218,1.82E-04,3.9575178,0.65786,0.43177797,RPL15,ribosomal protein L15
205051_s_at,0.0707719,1.87E-04,3.9493587,0.63396,0.94288652,KIT,KIT proto-oncogene receptor tyrosine kinase
